,Flow ID,Tx Packets,Rx Packets,Lost Packets,RTT (ms),Throughput (bps)
0,1,2182,2168,14,3.378431734317343,1099948.912729615
1,2,2175,2159,16,3.399597035664659,1099533.106772395
2,3,1113,1113,0,2.086954177897574,51778.08313828647
3,4,1209,1209,0,2.08904052936311,57643.374719926775
